,Combined Liability ($b),ds_00,ds_01,ds_02,ds_03,ds_04,ds_10,ds_11,ds_12,ds_13,ds_14
2017,2592.8983944,-12.7456914677,-11.5779571313,-10.4257863274,-9.56985285499,-5.90139302636,-13.9384683221,-12.7706451546,-11.6183884975,-10.7623967549,-7.09364530904
2018,2705.35923961,-12.9327985217,-11.7201713638,-10.5236793586,-9.63479621981,-5.82630283524,-14.1368348028,-12.9241010502,-11.7275322189,-10.8385883349,-7.02981104017
2019,2810.32536768,-13.0409901076,-11.7816558554,-10.5399663887,-9.61557575675,-5.65943947134,-14.2506189934,-12.9910916712,-11.7493347081,-10.8248767259,-6.86832334899
2020,2921.93020749,-13.3675854879,-12.0572227619,-10.765972499,-9.80396435762,-5.68801670439,-14.6024092603,-13.2918998879,-12.000643015,-11.0385443229,-6.92212137576
2021,3049.24204757,-13.779815951,-12.4173494413,-11.0748353392,-10.0729658754,-5.79530220771,-15.0478891814,-13.685346753,-12.3427587784,-11.3425879483,-7.06265035383
2022,3187.7277553,-14.2774429248,-12.8594479846,-11.4614534119,-10.4184807879,-5.96598783531,-15.5896785942,-14.1715246735,-12.773456091,-11.7304074726,-7.27754315827
2023,3336.71330529,-14.8994911294,-13.420875405,-11.9634038907,-10.876057316,-6.23475599931,-16.2586245381,-14.7798722595,-13.3223374864,-12.2349027774,-7.59309908673
2024,3495.27691367,-15.5962972239,-14.0553078245,-12.5364508633,-11.4033388299,-6.56637619981,-17.0080558687,-15.4670169625,-13.9481479681,-12.8149692337,-7.9772843266
2025,3663.12460714,-16.3748593454,-14.7684478789,-13.1851558893,-12.0039056141,-6.96155624375,-17.8468373177,-16.2404204806,-14.6570404038,-13.4779596474,-8.43257845805
2026,3839.93900313,-17.2356305724,-15.5606378975,-13.9095539955,-12.6800376613,-7.41785770182,-18.7638018183,-17.0887128455,-15.4375003444,-14.2079007181,-8.94497279382
