Asset Type,Asset,asset_category,mettr_c_2016,mettr_c_2018,mettr_c_2019,mettr_c_2020,asset_category,assets_c
Mainframes,Mainframes,Computers and Software,0.279473007,0.317416552,0.35156374,0.435051567,Computers and Software,17413293619
PCs,PCs,Computers and Software,0.279473007,0.317416552,0.35156374,0.435051567,Computers and Software,53550810954
DASDs,DASDs,Computers and Software,0.279473007,0.317416552,0.35156374,0.435051567,Computers and Software,0
Printers,Printers,Computers and Software,0.279473007,0.317416552,0.35156374,0.435051567,Computers and Software,9260043911
Terminals,Terminals,Computers and Software,0.279473007,0.317416552,0.35156374,0.435051567,Computers and Software,12396994619
Tape drives,Tape drives,Computers and Software,0.279473007,0.317416552,0.35156374,0.435051567,Computers and Software,0
Storage devices,Storage devices,Computers and Software,0.279473007,0.317416552,0.35156374,0.435051567,Computers and Software,7998988409
System integrators,System integrators,Computers and Software,0.279473007,0.317416552,0.35156374,0.435051567,Computers and Software,28310184525
Communications,Communications,Instruments and Communications Equipment,0.140497011,0.163691062,0.185666203,0.24477376,Instruments and Communications Equipment,4.98E+11
Nonelectro medical instruments,Nonelectro medical instruments,Instruments and Communications Equipment,0.156769611,0.182120024,0.205990682,0.269494428,Instruments and Communications Equipment,1.33E+11
Electro medical instruments,Electro medical instruments,Instruments and Communications Equipment,0.156769611,0.182120024,0.205990682,0.269494428,Instruments and Communications Equipment,75049828223
Nonmedical instruments,Nonmedical instruments,Instruments and Communications Equipment,0.156769611,0.182120024,0.205990682,0.269494428,Instruments and Communications Equipment,1.08E+11
Photocopy and related equipment,Photocopy and related equipment,Instruments and Communications Equipment,0.147673814,0.171833295,0.194660911,0.255298275,Instruments and Communications Equipment,25020946205
Office and accounting equipment,Office and accounting equipment,Instruments and Communications Equipment,0.214565294,0.246642496,0.276202434,0.351383047,Instruments and Communications Equipment,7268611167
Nuclear fuel,Nuclear fuel,Other Industrial Equipment,0.184530938,0.213292451,0.240094252,0.309577594,Other Industrial Equipment,6455272413
Other fabricated metals,Other fabricated metals,Other Industrial Equipment,0.124285753,0.145214897,0.165166999,0.219434761,Other Industrial Equipment,1.18E+11
Steam engines,Steam engines,Transportation Equipment,0.170725152,0.197832258,0.223223319,0.290548706,Transportation Equipment,91645013950
Internal combustion engines,Internal combustion engines,Transportation Equipment,0.205310139,0.23640673,0.265161315,0.339270145,Transportation Equipment,12363020746
Metalworking machinery,Metalworking machinery,Other Industrial Equipment,0.147642166,0.17179744,0.194621353,0.255714711,Other Industrial Equipment,2.19E+11
Special industrial machinery,Special industrial machinery,Industrial Machinery,0.13307837,0.155250467,0.176316714,0.233268034,Industrial Machinery,2.78E+11
General industrial equipment,General industrial equipment,Industrial Machinery,0.136197613,0.158802378,0.180254231,0.238124038,Industrial Machinery,4.76E+11
Electric transmission and distribution,Electric transmission and distribution,Other Industrial Equipment,0.168419521,0.195242265,0.220388735,0.287167725,Other Industrial Equipment,4.23E+11
Light trucks (including utility vehicles),Light trucks (including utility vehicles),Transportation Equipment,0.143526267,0.167130595,0.189468752,0.248972135,Transportation Equipment,1.68E+11
"Other trucks, buses and truck trailers","Other trucks, buses and truck trailers",Transportation Equipment,0.143526267,0.167130595,0.189468752,0.248972135,Transportation Equipment,1.20E+11
Autos,Autos,Transportation Equipment,0.224440565,0.257523994,0.287900384,0.364682446,Transportation Equipment,1.36E+11
Aircraft,Aircraft,Transportation Equipment,0.092537972,0.108689958,0.124277019,0.167294222,Transportation Equipment,2.66E+11
Ships and boats,Ships and boats,Transportation Equipment,0.129194719,0.150822063,0.171401166,0.227394394,Transportation Equipment,62839620240
Railroad equipment,Railroad equipment,Transportation Equipment,0.097962979,0.114963585,0.131335227,0.176697177,Transportation Equipment,1.09E+11
