base,reform,reform_2,base,reform,reform_2,base,reform,reform_2
0.13370106,0.132095477,0.133700288,,,,,,
0.132957129,0.126138339,0.132956081,,,,,,
0.179120922,0.13923058,0.17913582,,,,,,
0.200141958,0.164272757,0.200161587,,,,,,
0.251631388,0.1866579,0.251637635,,,,,,
0.255895354,0.187958376,0.255893907,,,,,,
0.260058064,0.204539772,0.260074636,,,,,,
0.247449314,0.251619564,0.247446387,,,,,,
0.255041598,0.258089933,0.25503001,,,,,,
0.258374978,0.264601396,0.25837155,,,,,,
0.277271565,0.276993204,0.277271941,,,,,,
0.292116975,0.269947194,0.292123921,,,,,,
0.299031163,0.273792807,0.299029037,,,,,,
0.304560255,0.281403241,0.304561551,,,,,,
0.307847267,0.280353042,0.307847267,,,,,,
0.307281897,0.279379462,0.307278862,,,,,,
0.309210079,0.278114261,0.309200722,,,,,,
0.313104107,0.278425602,0.313082581,,,,,,
0.313311258,0.278635838,0.313311258,,,,,,
0.312336523,0.279585716,0.312336523,,,,,,
0.314197125,0.281771836,0.314200891,,,,,,
0.312010429,0.281705416,0.312007205,,,,,,
0.311255324,0.28261153,0.311254694,,,,,,
0.314524531,0.284708968,0.314511583,,,,,,
0.313141074,0.284427654,0.313134728,,,,,,
0.32249599,0.293039388,0.322488736,,,,,,
0.314185495,0.284492296,0.314192698,,,,,,
0.315260812,0.286661714,0.315259069,,,,,,
0.315585986,0.287342618,0.315585986,,,,,,
0.311326621,0.281015317,0.311326621,,,,,,
0.312066257,0.28315236,0.312063709,,,,,,
0.312622364,0.281461746,0.31260334,,,,,,
0.310254167,0.281084101,0.310256269,,,,,,
0.313790264,0.283768023,0.313791151,,,,,,
0.309848417,0.279430777,0.309845118,,,,,,
0.310939514,0.281220728,0.31093284,,,,,,
0.314444999,0.282445629,0.314447883,,,,,,
0.317444942,0.288965472,0.317444153,,,,,,
0.338084193,0.289749935,0.338083826,,,,,,
0.367515367,0.289246709,0.367515367,,,,,,
0.379106684,0.300585573,0.379106684,,,,,,
0.383242342,0.313939071,0.383200905,,,,,,
0.377827081,0.373648258,0.377851855,,,,,,
0.382605106,0.381000008,0.382614731,,,,,,
0.386790719,0.387674557,0.386784076,,,,,,
0.383870929,0.387513602,0.383870929,,,,,,
0.397956172,0.399046196,0.397941704,,,,,,
0.393762255,0.393836857,0.393824225,,,,,,
0.391134462,0.393246882,0.391136578,,,,,,
0.400109402,0.40064233,0.400118072,,,,,,
0.394649938,0.398077344,0.394649938,,,,,,
0.401561905,0.404343497,0.401558615,,,,,,
0.40231916,0.401533509,0.402310844,,,,,,
0.399201223,0.400344194,0.399201223,,,,,,
0.400513126,0.399763518,0.400530575,,,,,,
0.395671454,0.396094872,0.395665723,,,,,,
0.397297115,0.39845456,0.397294677,,,,,,
0.400199656,0.400593024,0.400199656,,,,,,
0.399647796,0.401257957,0.399640619,,,,,,
0.4013975,0.40002434,0.401398886,,,,,,
0.404114251,0.40305384,0.404107834,,,,,,
0.403717071,0.402813208,0.403734718,,,,,,
0.40313518,0.405000284,0.403125846,,,,,,
0.405808539,0.406259334,0.405800332,,,,,,
0.409122824,0.409290543,0.409113051,,,,,,
0.404494898,0.404982351,0.404469131,,,,,,
0.412935365,0.413375964,0.412931826,,,,,,
0.405541615,0.406478713,0.405533453,,,,,,
0.409657691,0.409461341,0.409625226,,,,,,
0.40891892,0.40758301,0.408896007,,,,,,
0.404653244,0.403203662,0.404653244,,,,,,
0.405685759,0.405498562,0.405654435,,,,,,
0.408777562,0.40966893,0.408771925,,,,,,
0.404912341,0.405107487,0.404892276,,,,,,
0.407782574,0.40426223,0.407778277,,,,,,
0.410992043,0.404166935,0.410987978,,,,,,
0.419281044,0.409926455,0.41931903,,,,,,
0.4198617,0.406280407,0.419866404,,,,,,
0.419518108,0.407484197,0.419508196,,,,,,
0.420754795,0.410043956,0.420745056,,,,,,
0.408053006,0.396309054,0.408078017,,,,,,
0.308674805,0.311292757,0.308673448,,,,,,
0.311892236,0.322751731,0.311920618,,,,,,
0.313386326,0.325014488,0.313359641,,,,,,
0.314320826,0.335908187,0.314295648,,,,,,
0.313537324,0.350603426,0.31348408,,,,,,
0.314580546,0.348416784,0.314553496,,,,,,
0.32498706,0.347930151,0.325135015,,,,,,
0.317288123,0.353304346,0.317168686,,,,,,
0.32616826,0.358724521,0.326067416,,,,,,
0.339686818,0.3613967,0.339698889,,,,,,
0.358492657,0.36685457,0.358650687,,,,,,
0.379248692,0.370251639,0.38085247,,,,,,
0.384403407,0.374801507,0.384894423,,,,,,
0.376883268,0.377136552,0.376850437,,,,,,
0.366750415,0.368507084,0.373722041,,,,,,
0.416999687,0.371766245,0.418737297,,,,,,
0.436840345,0.369658998,0.436891763,,,,,,
0.436098357,0.36565641,0.435649038,,,,,,
0.44485924,0.369447976,0.470031282,,,,,,
,,,0.199990721,0.184425934,0.199975102,,,
,,,0.287233852,0.259832269,0.287214959,,,
,,,0.330818029,0.317751206,0.330842319,,,
,,,0.347040994,0.343500445,0.347057865,,,
,,,0.34303104,0.334025371,0.343018001,,,
,,,0.345660792,0.329495226,0.345654564,,,
,,,0.339000568,0.320838492,0.338959106,,,
,,,0.32004479,0.297655751,0.320061,,,
,,,0.309417101,0.285314916,0.309417476,,,
,,,0.311431432,0.287582991,0.311440924,,,
,,,0.314968141,0.288629555,0.314953603,,,
,,,0.313104425,0.287567478,0.313524178,,,
,,,0.314990094,0.286215718,0.314981148,,,
,,,0.314911621,0.288132417,0.31490893,,,
,,,0.310644491,0.285180832,0.311019117,,,
,,,0.319425571,0.291272597,0.319385379,,,
,,,0.316454635,0.288799885,0.316455443,,,
,,,0.32130067,0.294511817,0.321259172,,,
,,,0.319357526,0.295605752,0.319338518,,,
,,,0.319090352,0.295357185,0.319192462,,,
,,,0.322401391,0.295423733,0.322365706,,,
,,,0.319021503,0.295309255,0.318996013,,,
,,,0.330931384,0.308397709,0.330949328,,,
,,,0.331887059,0.306404114,0.33187176,,,
,,,0.336614495,0.311206878,0.336614091,,,
,,,0.337305708,0.306922881,0.337248726,,,
,,,0.343872785,0.313863154,0.34388912,,,
,,,0.352228907,0.328460467,0.352218635,,,
,,,0.358584956,0.365701899,0.35863939,,,
,,,0.371091458,0.384433531,0.371071082,,,
,,,0.385880521,0.402707486,0.385883859,,,
,,,0.398164366,0.405402927,0.398210835,,,
,,,0.402502213,0.416020603,0.402603889,,,
,,,0.409634166,0.415779081,0.409634704,,,
,,,0.414058264,0.41875746,0.414093427,,,
,,,0.406966479,0.41485987,0.40694076,,,
,,,0.403295667,0.409695675,0.403986261,,,
,,,0.380949626,0.383198619,0.380977673,,,
,,,0.391652995,0.394895308,0.391624976,,,
,,,0.38201094,0.38643759,0.382016963,,,
,,,0.383269672,0.383981868,0.383236063,,,
,,,0.381474114,0.381576754,0.381426204,,,
,,,0.384799248,0.382319826,0.38478595,,,
,,,0.376730574,0.377445651,0.376785547,,,
,,,0.389232192,0.388455674,0.389212701,,,
,,,0.381949053,0.380763057,0.381903134,,,
,,,0.392704209,0.390736172,0.39266943,,,
,,,0.375849614,0.374773086,0.375849026,,,
,,,0.376729462,0.373364589,0.376673494,,,
,,,0.384276613,0.380341117,0.38423592,,,
