bea_ind_code,Industry,major_industry,mettr_c_base,mettr_c_d_base,mettr_c_e_base,mettr_c_reform,mettr_c_d_reform,mettr_c_e_reform,assets_c
110C,Farms,"Agriculture, forestry, fishing, and hunting",0.352727252,-0.11908606,0.430054976,0.352728224,-0.11908411,0.430055831,56149634006
113F,"Forestry,åÊfishing,åÊandåÊrelatedåÊactivities","Forestry,åÊfishing,åÊandåÊrelatedåÊactivities",0.352730027,-0.11908127,0.430057394,0.352730416,-0.119080428,0.430057731,5473690344
2110,OilåÊandåÊgasåÊextraction,OilåÊandåÊgasåÊextraction,0.350320031,-0.123003047,0.427931227,0.350533495,-0.122566574,0.428119351,11584927155
2120,"Mining,åÊexceptåÊoilåÊandåÊgas","Mining,åÊexceptåÊoilåÊandåÊgas",0.352709715,-0.11911209,0.430039362,0.352712409,-0.119106565,0.430041729,25055711456
2130,SupportåÊactivitiesåÊforåÊmining,SupportåÊactivitiesåÊforåÊmining,0.352392921,-0.119594158,0.429757545,0.352446457,-0.119478333,0.429803732,3077151644
2200,Utilities,Utilities,0.339902206,-0.140530805,0.418843055,0.341625592,-0.137303179,0.420394096,28386295904
2300,Construction,Construction,0.352729281,-0.119082306,0.430056722,0.352729798,-0.119081168,0.430057165,35575033387
311A,"Food,åÊbeverage,åÊandåÊtobaccoåÊproducts","Food,åÊbeverage,åÊandåÊtobaccoåÊproducts",0.35265789,-0.119152674,0.429990898,0.352672254,-0.119121241,0.430003243,37953036860
313T,TextileåÊmillsåÊandåÊtextileåÊproductåÊmills,TextileåÊmillsåÊandåÊtextileåÊproductåÊmills,0.352699616,-0.119093782,0.430028352,0.352706382,-0.119079046,0.430034177,1346265843
315A,ApparelåÊandåÊleatheråÊandåÊalliedåÊproducts,ApparelåÊandåÊleatheråÊandåÊalliedåÊproducts,0.352726395,-0.119077166,0.430053624,0.352727783,-0.119074136,0.430054817,1023362518
3210,WoodåÊproducts,WoodåÊproducts,0.352729607,-0.119079664,0.430056883,0.352730165,-0.119078443,0.430057363,7387628211
3220,PaperåÊproducts,PaperåÊproducts,0.338507876,-0.1357602,0.417103593,0.341181379,-0.130038,0.41941013,11209584634
